Kód obce;Jméno obce;Voliči v seznamu;Vydané obálky;Platné hlasy;ANO 2011;Blok proti islam.-Obran.domova;CESTA ODPOVĚDNÉ SPOLEČNOSTI;Dobrá volba 2016;Dělnic.str.sociální spravedl.;Komunistická str.Čech a Moravy;Křesť.demokr.unie-Čs.str.lid.;Národ Sobě;Občanská demokratická aliance;Občanská demokratická strana;REALISTÉ;ROZUMNÍ-stop migraci,diktát.EU;Radostné Česko;Referendum o Evropské unii;SPORTOVCI;SPR-Republ.str.Čsl. M.Sládka;STAROSTOVÉ A NEZÁVISLÍ;Strana Práv Občanů;Strana svobodných občanů;Strana zelených;Svob.a př.dem.-T.Okamura (SPD);TOP 09;Česká pirátská strana;Česká str.sociálně demokrat.;Česká strana národně sociální;Řád národa - Vlastenecká unie
https:;Kožušice;96;53;52;16;0;0;0;0;8;5;0;0;2;1;0;0;0;0;0;0;0;0;0;10;1;0;9;0;0
https:;Bučovice;5 235;3 035;3 018;746;3;1;1;2;361;297;2;1;223;21;26;1;1;7;23;55;10;51;29;429;86;216;424;1;1
https:;Hlubočany;390;245;241;84;0;0;0;3;30;10;0;0;13;0;4;1;0;0;0;10;1;5;1;34;4;12;25;0;4
https:;Snovídky;282;175;174;30;1;0;0;0;30;8;0;0;5;1;1;1;0;0;1;4;0;3;3;33;3;10;40;0;0
https:;Habrovany;673;428;426;122;1;1;1;2;34;27;2;2;40;3;7;0;2;1;1;7;1;8;8;53;16;39;46;0;2
https:;Nevojice;346;214;212;55;0;0;0;0;23;25;1;0;13;1;0;0;0;0;0;9;0;1;3;41;9;14;17;0;0
https:;Nové Sady;90;62;62;14;0;0;0;0;15;3;0;0;1;1;0;0;0;0;0;4;2;3;1;10;0;5;3;0;0
https:;Chvalkovice;216;130;130;22;0;0;0;0;30;19;0;0;13;0;0;0;0;1;0;2;1;2;1;10;0;4;25;0;0
https:;Račice-Pístovice;968;602;598;179;1;1;0;0;71;22;0;0;42;0;8;0;0;1;5;27;2;2;7;87;18;57;68;0;0
https:;Hostěrádky-Rešov;697;490;490;136;0;3;1;0;44;40;0;1;30;0;5;0;2;4;0;23;4;9;2;65;15;46;60;0;0
